question_id,answer,model,prompt_variant,sample_idx,is_human,grader_model,thesis_clarity,argumentative_soundness,dialectical_engagement,precision_distinctions,substantive_contribution,example_quality,total,timestamp
Builes-ParadoxEvidentialEquivalence-2020,"Your credence should drop from 1/2—indeed, it should drop all the way to 0. Given that almost every coin landed tails, what's the chance that you are one of the vanishingly few heads-flippers? The evidence that almost every coin landed tails should count as some evidence that you are one of the tail-flippers. Analogously, if you have a ticket for a lottery where almost every ticket is a losing ticket, then if the lottery is fair, you should think you probably have a losing ticket.

First, there ",human,,0,True,openrouter/z-ai/glm-4.7,5,6,0,4,5,3,23,2026-02-02T20:07:35.750024
Enoch-FalseConsciousnessLiberals-2020,"One natural approach appeals to internal tensions within the agent, as when a specific superficial preference is in tension with deeper commitments. On Frankfurt's influential account, if one has a preference that one doesn't endorse, or that one wants not to lead one to action, then that preference may not be autonomous. At the very least, it will not be as autonomous as acting on a preference that resonates throughout one's hierarchy of higher-order desires. This may be thought of as an accoun",human,,0,True,openrouter/z-ai/glm-4.7,3,5,4,4,4,5,25,2026-02-02T20:07:35.750024
Franzn-EvaluativeDiscourseAffective-2020,"The theory that 'find' states are non-cognitive and belong to the class of affective mental states provides a unified explanation of three distinctive features these states share with paradigmatic affective attitudes like appreciating, loving, hating, and detesting.

First, affective states are such that when they are actualized, they are connected to occurrent states with distinctive phenomenologies. Somebody who loves her family will feel a certain way when thinking about them, where 'feel' de",human,,0,True,openrouter/z-ai/glm-4.7,5,5,3,4,5,5,27,2026-02-02T20:07:35.750024
GALLOW-CAUSALDECISIONTHEORISTS-2020,"In Death in Damascus, which act has the highest utility varies with your act probabilities. If your probability of going to Aleppo is greater than 4/5ths, then going to Damascus has higher utility. If it is less than 4/5ths, then going to Aleppo has higher utility. Conditional on you going to Aleppo, going to Damascus has a higher utility. And conditional on you going to Damascus, going to Aleppo has a higher utility. So, as soon as you start to follow CDT's advice, it will issue new recommendat",human,,0,True,openrouter/z-ai/glm-4.7,4,5,3,5,4,4,25,2026-02-02T20:07:35.750024
ISSEROW-MORALWORTH-2020,"I want to argue that actions carried out solely from the motive of duty can have moral worth. To make this case, consider a character I will call Schmuck Finn. Schmuck has been subject to a similar upbringing to Huck Finn, and like Huck, Schmuck helps Jim escape slavery. But unlike Huck, Schmuck believes that this is the right thing to do; he has had the good fortune of reading some moral philosophy, and the strength of the arguments against racism and slavery have led him to conclude that the v",human,,0,True,openrouter/z-ai/glm-4.7,4,4,3,4,4,5,24,2026-02-02T20:07:35.750024
Jenkin-EpistemicRoleCore-2020,"Views requiring awareness of one's reasons for the basing relation are implausible, independent of debates about modular cognition. There are convincing cases of basing on reasons in belief that do not involve any form of awareness of one's reasons. Consider cases of expertise in which knowledge is stored outside of awareness but nonetheless informs reasoning. A seasoned pilot may have learned certain principles throughout the course of her training, such as how best to angle a plane when landin",human,,0,True,openrouter/z-ai/glm-4.7,5,5,4,4,4,5,27,2026-02-02T20:07:35.750024
Koskinen-DefendingRiskAccount-2020,"The intuition that objectivity is linked to trust is understandable and widely shared. However, this formulation requires refinement. If we distinguish between trust and reliance by saying that trust can be betrayed or let down, whereas reliance can only be disappointed, it becomes clear that when trying to identify what the different senses of objectivity have in common, we should talk about reliance instead of trust.

This distinction matters because trust is something we have toward people, a",human,,0,True,openrouter/z-ai/glm-4.7,5,6,5,6,6,5,33,2026-02-02T20:07:35.750024
Maguire-GameBelief-2020,"Consider an analogy with chess. Suppose you are playing chess with a friend, and a passerby threatens to punch you on the nose if you advance your knight to f4. What ought you to do? Can you weigh the positional advantage in advancing your knight against the prudential disadvantage of getting punched? Yes and no. There is no chess scale on which positional advantage can be compared with the painfulness of a punch. Positional advantages in chess can be weighed against disadvantages in material, t",human,,0,True,openrouter/z-ai/glm-4.7,4,5,3,5,5,6,28,2026-02-02T20:07:35.750024
Smortchkova-SeeingGoalDirectedness-2020,"The claim that resonance is a necessary condition for the perception of another's goal-directed action rests on the acceptance of an overly strong version of the motor theory of perception, according to which the perception of another's goal-directed action just consists in motor simulation—that is, in the simulation of the agent's bodily movements without executing them. On this assumption, one is able to perceive others' goal-directed actions only to the extent that one is able to simulate the",human,,0,True,openrouter/z-ai/glm-4.7,4,5,4,5,4,5,27,2026-02-02T20:07:35.750024
Viera-SenseTime-2020,"The objection rests on what we might call 'the causality constraint': the view that sensory systems must gather information through causal connections with the features they represent. This constraint seems motivated by an inference to the best explanation—since sensory systems directly gather information about the environment without relying on other information-bearing psychological processes, how else could they carry information except through causal connection? To deny this would seem to co",human,,0,True,openrouter/z-ai/glm-4.7,4,5,4,5,5,4,27,2026-02-02T20:07:35.750024
Enoch-FalseConsciousnessLiberals-2020,"The phenomenon of adaptive preferences presents one of the most persistent and troubling puzzles in the philosophy of autonomy and political theory. It describes a situation in which individuals alter their desires and preferences to fit the limited options available to them, often in response to oppressive circumstances, deprivation, or systemic inequality. The classic illustration, drawn from Amartya Sen and Jon Elster, is that of the ""tamed housewife"" or the ""contented slave""—individuals who ",openrouter/z-ai/glm-4.7,answer_without_rubric_2k,0,False,openrouter/z-ai/glm-4.7,5,6,6,6,6,5,34,2026-02-02T20:17:26.096017
Enoch-FalseConsciousnessLiberals-2020,"The phenomenon of adaptive preferences presents one of the most persistent and troubling puzzles in the philosophy of autonomy and political theory. Coined by Jon Elster through the fable of the fox who decides the grapes he cannot reach are sour anyway, adaptive preferences refer to the psychological tendency of individuals to adjust their desires and wants to match the limitations of their feasible set. While this mechanism serves a vital psychological function—reducing cognitive dissonance an",openrouter/z-ai/glm-4.7,answer_without_rubric_2k,1,False,openrouter/z-ai/glm-4.7,5,5,5,6,5,6,32,2026-02-02T20:17:26.096017
Koskinen-DefendingRiskAccount-2020,"The relationship between scientific objectivity and trust has emerged as a central concern in contemporary philosophy of science, particularly as the discipline moves away from the logical positivist ideal of a ""view from nowhere"" toward a more socially embedded understanding of scientific practice. Philosophers such as Arthur Fine and Heather Douglas have argued persuasively that our various uses of the term ""objective"" share a common root in the concept of trust; to call a scientific claim obj",openrouter/z-ai/glm-4.7,answer_without_rubric_2k,0,False,openrouter/z-ai/glm-4.7,5,6,6,6,6,5,34,2026-02-02T20:17:26.096017
Koskinen-DefendingRiskAccount-2020,"The relationship between scientific objectivity and trust has emerged as a central point of inquiry in contemporary philosophy of science, particularly as the discipline has moved away from the logical positivist dream of a ""God’s-eye view"" toward a more pragmatic, social, and historical understanding of scientific practice. Philosophers such as Arthur Fine, with his Natural Ontological Attitude (NOA), and Heather Douglas, in her work on the role of values in science, have posited that what we c",openrouter/z-ai/glm-4.7,answer_without_rubric_2k,1,False,openrouter/z-ai/glm-4.7,5,5,6,5,5,6,32,2026-02-02T20:17:26.096017
Builes-ParadoxEvidentialEquivalence-2020,"The case of the infinite coin flip presents a fascinating and profound challenge to our intuitions about probability, evidence, and self-locating belief. It forces us to confront the limitations of standard Bayesian epistemology when stretched to the limits of the infinite. In analyzing this scenario, we find ourselves suspended between two powerful but conflicting intuitions: the intuition of local fairness, which suggests our credence should remain 1/2, and the intuition of global scarcity, wh",openrouter/z-ai/glm-4.7,answer_without_rubric_2k,0,False,openrouter/z-ai/glm-4.7,4,6,5,5,4,5,29,2026-02-02T20:35:37.535620
Builes-ParadoxEvidentialEquivalence-2020,"The problem you have presented is a striking instance of an infinite probability puzzle, one that sits at the intersection of formal probability theory, epistemology, and the philosophy of science. It forces us to confront the uncomfortable limitations of standard Bayesian conditioning when dealing with infinite sets and events of measure zero. The scenario involves a countable infinity of agents (indexed by the natural numbers, $\mathbb{N}$), each flipping a fair coin. We are asked to determine",openrouter/z-ai/glm-4.7,answer_without_rubric_2k,1,False,openrouter/z-ai/glm-4.7,5,5,5,5,5,4,29,2026-02-02T20:35:37.535620
Builes-ParadoxEvidentialEquivalence-2020,"The problem posed presents a fascinating collision between our intuitions about local chance and the global structure of probability spaces involving infinity. We are asked to consider a scenario involving a countably infinite number of independent, fair coin flips. We are informed that the outcome is one of the most surprising possible: only finitely many coins landed heads. The question is whether this information should alter our credence that our own specific coin landed heads from the prior",openrouter/z-ai/glm-4.7,answer_without_rubric_2k,2,False,openrouter/z-ai/glm-4.7,5,5,5,5,5,5,30,2026-02-02T20:35:37.535620
